1,유원현,1,1,1
2,정민현,1,1,2
3,유인서,1,1,3
4,김수민,1,1,4
5,최은원,1,1,5
6,박동서,1,1,6
7,장수수,1,1,7
8,최영석,1,1,8
9,최원현,1,1,9
10,조원진,1,1,10
11,정서지,1,2,1
12,최진은,1,2,2
13,유석은,1,2,3
14,장지동,1,2,4
15,김은원,1,2,5
16,이훈혜,1,2,6
17,유원수,1,2,7
18,최은은,1,2,8
19,최진민,1,2,9
20,박영훈,1,2,10
21,정영지,1,3,1
22,김지은,1,3,2
23,박서민,1,3,3
24,이진영,1,3,4
25,권원지,1,3,5
26,조지혜,1,3,6
27,정혜인,1,3,7
28,임수진,1,3,8
29,정민원,1,3,9
30,김은인,1,3,10
31,권수민,1,4,1
32,유서민,1,4,2
33,최현민,1,4,3
34,장원훈,1,4,4
35,이진인,1,4,5
36,임훈민,1,4,6
37,이원혜,1,4,7
38,박원동,1,4,8
39,김혜은,1,4,9
40,정석혜,1,4,10
41,박인서,1,5,1
42,임민혜,1,5,2
43,장훈혜,1,5,3
44,권민원,1,5,4
45,최영현,1,5,5
46,김원서,1,5,6
47,권석현,1,5,7
48,임지혜,1,5,8
49,장동석,1,5,9
50,이석혜,1,5,10
51,장훈지,2,1,1
52,권현수,2,1,2
53,최지서,2,1,3
54,권영원,2,1,4
55,임훈지,2,1,5
56,임혜인,2,1,6
57,박인동,2,1,7
58,김훈서,2,1,8
59,정인훈,2,1,9
60,조은지,2,1,10
61,조현혜,2,2,1
62,정혜현,2,2,2
63,장인인,2,2,3
64,임민인,2,2,4
65,유민영,2,2,5
66,정영진,2,2,6
67,이인은,2,2,7
68,최원지,2,2,8
69,김은서,2,2,9
70,최현은,2,2,10
71,박수수,2,3,1
72,이원은,2,3,2
73,임지수,2,3,3
74,유민영,2,3,4
75,정인수,2,3,5
76,권수은,2,3,6
77,정영은,2,3,7
78,최영인,2,3,8
79,최현서,2,3,9
80,박진영,2,3,10
81,임진원,2,4,1
82,유동현,2,4,2
83,박혜석,2,4,3
84,유현원,2,4,4
85,유현영,2,4,5
86,장혜인,2,4,6
87,정현민,2,4,7
88,박현훈,2,4,8
89,유서원,2,4,9
90,조영서,2,4,10
91,장현지,2,5,1
92,김서현,2,5,2
93,유혜훈,2,5,3
94,임현원,2,5,4
95,임진현,2,5,5
96,장수동,2,5,6
97,유현현,2,5,7
98,이훈혜,2,5,8
99,임은인,2,5,9
100,김수은,2,5,10
101,조은훈,3,1,1
102,장수원,3,1,2
103,임수은,3,1,3
104,유영수,3,1,4
105,임은진,3,1,5
106,임원영,3,1,6
107,김석훈,3,1,7
108,임은훈,3,1,8
109,장진동,3,1,9
110,정인진,3,1,10
111,이영지,3,2,1
112,유원현,3,2,2
113,임은인,3,2,3
114,이민서,3,2,4
115,최수동,3,2,5
116,최석훈,3,2,6
117,정석인,3,2,7
118,이혜석,3,2,8
119,최지서,3,2,9
120,장영영,3,2,10
121,박훈훈,3,3,1
122,권민민,3,3,2
123,정영훈,3,3,3
124,임지혜,3,3,4
125,유인지,3,3,5
126,박동지,3,3,6
127,이훈영,3,3,7
128,임은은,3,3,8
129,유현영,3,3,9
130,박진석,3,3,10
131,박현은,3,4,1
132,조혜현,3,4,2
133,이서진,3,4,3
134,김지지,3,4,4
135,김훈영,3,4,5
136,조민은,3,4,6
137,장지원,3,4,7
138,권인혜,3,4,8
139,최수지,3,4,9
140,김훈서,3,4,10
141,조수훈,3,5,1
142,임수현,3,5,2
143,조수석,3,5,3
144,임지동,3,5,4
145,정훈서,3,5,5
146,유석수,3,5,6
147,정현영,3,5,7
148,권동석,3,5,8
149,유동동,3,5,9
150,권진석,3,5,10
